schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,content.data.industry,content.data.description,collectedAt
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/sentence-transformers,Sentence Transformers,15,Generative AI & LLM Systems,Sentence Transformers is an artificial intelligence venture engineering proprietary generative ai & llm systems technologies.,2026-08-27T15:08:28.073953+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/google-bert,Google Bert,35,Autonomous Agents & Robotics,Google Bert is an artificial intelligence venture engineering proprietary autonomous agents & robotics technologies.,2026-08-27T15:08:28.073981+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/cross-encoder,Cross Encoder,50,Computer Vision & Multi-Modal AI,Cross Encoder is an artificial intelligence venture engineering proprietary computer vision & multi-modal ai technologies.,2026-08-27T15:08:28.073993+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/BAAI,Baai,85,AI Infrastructure & Developer Tooling,Baai is an artificial intelligence venture engineering proprietary ai infrastructure & developer tooling technologies.,2026-08-27T15:08:28.074004+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/google,Google,120,Speech & Audio Intelligence,Google is an artificial intelligence venture engineering proprietary speech & audio intelligence technologies.,2026-08-27T15:08:28.074015+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/amazon,Amazon,250,AI Safety & Governance,Amazon is an artificial intelligence venture engineering proprietary ai safety & governance technologies.,2026-08-27T15:08:28.074025+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/Qwen,Qwen,450,Enterprise Search & Knowledge Graphs,Qwen is an artificial intelligence venture engineering proprietary enterprise search & knowledge graphs technologies.,2026-08-27T15:08:28.074035+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/lpiccinelli,Lpiccinelli,1200,Bio-Medical & Scientific AI,Lpiccinelli is an artificial intelligence venture engineering proprietary bio-medical & scientific ai technologies.,2026-08-27T15:08:28.074045+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/google-t5,Google T5,15,Generative AI & LLM Systems,Google T5 is an artificial intelligence venture engineering proprietary generative ai & llm systems technologies.,2026-08-27T15:08:28.074056+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/openai,OpenAI,35,Autonomous Agents & Robotics,Openai is an artificial intelligence venture engineering proprietary autonomous agents & robotics technologies.,2026-08-27T15:08:28.074067+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/Comfy-Org,Comfy Org,50,Computer Vision & Multi-Modal AI,Comfy Org is an artificial intelligence venture engineering proprietary computer vision & multi-modal ai technologies.,2026-08-27T15:08:28.074077+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/FacebookAI,Facebookai,85,AI Infrastructure & Developer Tooling,Facebookai is an artificial intelligence venture engineering proprietary ai infrastructure & developer tooling technologies.,2026-08-27T15:08:28.074087+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/timm,Timm,120,Speech & Audio Intelligence,Timm is an artificial intelligence venture engineering proprietary speech & audio intelligence technologies.,2026-08-27T15:08:28.074097+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/trl-internal-testing,Trl Internal Testing,250,AI Safety & Governance,Trl Internal Testing is an artificial intelligence venture engineering proprietary ai safety & governance technologies.,2026-08-27T15:08:28.074106+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/nomic-ai,Nomic,450,Enterprise Search & Knowledge Graphs,Nomic Ai is an artificial intelligence venture engineering proprietary enterprise search & knowledge graphs technologies.,2026-08-27T15:08:28.074114+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/openai-community,Openai Community,1200,Bio-Medical & Scientific AI,Openai Community is an artificial intelligence venture engineering proprietary bio-medical & scientific ai technologies.,2026-08-27T15:08:28.074123+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/facebook,Facebook,15,Generative AI & LLM Systems,Facebook is an artificial intelligence venture engineering proprietary generative ai & llm systems technologies.,2026-08-27T15:08:28.074133+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/unsloth,Unsloth,35,Autonomous Agents & Robotics,Unsloth is an artificial intelligence venture engineering proprietary autonomous agents & robotics technologies.,2026-08-27T15:08:28.074144+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/intfloat,Intfloat,50,Computer Vision & Multi-Modal AI,Intfloat is an artificial intelligence venture engineering proprietary computer vision & multi-modal ai technologies.,2026-08-27T15:08:28.074155+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/hexgrad,Hexgrad,85,AI Infrastructure & Developer Tooling,Hexgrad is an artificial intelligence venture engineering proprietary ai infrastructure & developer tooling technologies.,2026-08-27T15:08:28.074164+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/nvidia,Nvidia,120,Speech & Audio Intelligence,Nvidia is an artificial intelligence venture engineering proprietary speech & audio intelligence technologies.,2026-08-27T15:08:28.074173+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/argmaxinc,Argmaxinc,250,AI Safety & Governance,Argmaxinc is an artificial intelligence venture engineering proprietary ai safety & governance technologies.,2026-08-27T15:08:28.074182+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/jonatasgrosman,Jonatasgrosman,450,Enterprise Search & Knowledge Graphs,Jonatasgrosman is an artificial intelligence venture engineering proprietary enterprise search & knowledge graphs technologies.,2026-08-27T15:08:28.074193+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/Bingsu,Bingsu,1200,Bio-Medical & Scientific AI,Bingsu is an artificial intelligence venture engineering proprietary bio-medical & scientific ai technologies.,2026-08-27T15:08:28.074202+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/pyannote,Pyannote,15,Generative AI & LLM Systems,Pyannote is an artificial intelligence venture engineering proprietary generative ai & llm systems technologies.,2026-08-27T15:08:28.074211+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/laion,Laion,35,Autonomous Agents & Robotics,Laion is an artificial intelligence venture engineering proprietary autonomous agents & robotics technologies.,2026-08-27T15:08:28.074222+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/coqui,Coqui,50,Computer Vision & Multi-Modal AI,Coqui is an artificial intelligence venture engineering proprietary computer vision & multi-modal ai technologies.,2026-08-27T15:08:28.074232+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/meta-llama,Meta Llama,85,AI Infrastructure & Developer Tooling,Meta Llama is an artificial intelligence venture engineering proprietary ai infrastructure & developer tooling technologies.,2026-08-27T15:08:28.074245+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/autogluon,Autogluon,120,Speech & Audio Intelligence,Autogluon is an artificial intelligence venture engineering proprietary speech & audio intelligence technologies.,2026-08-27T15:08:28.074255+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/distilbert,Distilbert,250,AI Safety & Governance,Distilbert is an artificial intelligence venture engineering proprietary ai safety & governance technologies.,2026-08-27T15:08:28.074263+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/farbodtavakkoli,Farbodtavakkoli,450,Enterprise Search & Knowledge Graphs,Farbodtavakkoli is an artificial intelligence venture engineering proprietary enterprise search & knowledge graphs technologies.,2026-08-27T15:08:28.074273+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/ibm-granite,Ibm Granite,1200,Bio-Medical & Scientific AI,Ibm Granite is an artificial intelligence venture engineering proprietary bio-medical & scientific ai technologies.,2026-08-27T15:08:28.074287+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/answerdotai,Answerdotai,15,Generative AI & LLM Systems,Answerdotai is an artificial intelligence venture engineering proprietary generative ai & llm systems technologies.,2026-08-27T15:08:28.074297+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/MiniMaxAI,Minimaxai,35,Autonomous Agents & Robotics,Minimaxai is an artificial intelligence venture engineering proprietary autonomous agents & robotics technologies.,2026-08-27T15:08:28.074309+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/ProsusAI,Prosusai,50,Computer Vision & Multi-Modal AI,Prosusai is an artificial intelligence venture engineering proprietary computer vision & multi-modal ai technologies.,2026-08-27T15:08:28.074318+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/dphn,Dphn,85,AI Infrastructure & Developer Tooling,Dphn is an artificial intelligence venture engineering proprietary ai infrastructure & developer tooling technologies.,2026-08-27T15:08:28.074330+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/ornith-ai,Ornith,120,Speech & Audio Intelligence,Ornith Ai is an artificial intelligence venture engineering proprietary speech & audio intelligence technologies.,2026-08-27T15:08:28.074340+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/microsoft,Microsoft,250,AI Safety & Governance,Microsoft is an artificial intelligence venture engineering proprietary ai safety & governance technologies.,2026-08-27T15:08:28.074350+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/datasocietyco,Datasocietyco,450,Enterprise Search & Knowledge Graphs,Datasocietyco is an artificial intelligence venture engineering proprietary enterprise search & knowledge graphs technologies.,2026-08-27T15:08:28.074359+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/Falconsai,Falconsai,1200,Bio-Medical & Scientific AI,Falconsai is an artificial intelligence venture engineering proprietary bio-medical & scientific ai technologies.,2026-08-27T15:08:28.074370+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/deepseek-ai,DeepSeek,15,Generative AI & LLM Systems,Deepseek Ai is an artificial intelligence venture engineering proprietary generative ai & llm systems technologies.,2026-08-27T15:08:28.074381+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/EleutherAI,Eleutherai,35,Autonomous Agents & Robotics,Eleutherai is an artificial intelligence venture engineering proprietary autonomous agents & robotics technologies.,2026-08-27T15:08:28.074393+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/mistralai,Mistral AI,50,Computer Vision & Multi-Modal AI,Mistralai is an artificial intelligence venture engineering proprietary computer vision & multi-modal ai technologies.,2026-08-27T15:08:28.074407+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/usyd-community,Usyd Community,85,AI Infrastructure & Developer Tooling,Usyd Community is an artificial intelligence venture engineering proprietary ai infrastructure & developer tooling technologies.,2026-08-27T15:08:28.074416+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/mixedbread-ai,Mixedbread,120,Speech & Audio Intelligence,Mixedbread Ai is an artificial intelligence venture engineering proprietary speech & audio intelligence technologies.,2026-08-27T15:08:28.074428+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/cardiffnlp,Cardiffnlp,250,AI Safety & Governance,Cardiffnlp is an artificial intelligence venture engineering proprietary ai safety & governance technologies.,2026-08-27T15:08:28.074436+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/RadixArk,Radixark,450,Enterprise Search & Knowledge Graphs,Radixark is an artificial intelligence venture engineering proprietary enterprise search & knowledge graphs technologies.,2026-08-27T15:08:28.074444+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/charactr,Character.ai,1200,Bio-Medical & Scientific AI,Charactr is an artificial intelligence venture engineering proprietary bio-medical & scientific ai technologies.,2026-08-27T15:08:28.074453+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/indonesian-nlp,Indonesian Nlp,15,Generative AI & LLM Systems,Indonesian Nlp is an artificial intelligence venture engineering proprietary generative ai & llm systems technologies.,2026-08-27T15:08:28.074464+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/baidu,Baidu,35,Autonomous Agents & Robotics,Baidu is an artificial intelligence venture engineering proprietary autonomous agents & robotics technologies.,2026-08-27T15:08:28.074474+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/moonshotai,Moonshotai,50,Computer Vision & Multi-Modal AI,Moonshotai is an artificial intelligence venture engineering proprietary computer vision & multi-modal ai technologies.,2026-08-27T15:08:28.074484+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/E-MIMIC,E Mimic,85,AI Infrastructure & Developer Tooling,E Mimic is an artificial intelligence venture engineering proprietary ai infrastructure & developer tooling technologies.,2026-08-27T15:08:28.074494+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/datalab-to,Datalab To,120,Speech & Audio Intelligence,Datalab To is an artificial intelligence venture engineering proprietary speech & audio intelligence technologies.,2026-08-27T15:08:28.074503+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/DavidAU,Davidau,250,AI Safety & Governance,Davidau is an artificial intelligence venture engineering proprietary ai safety & governance technologies.,2026-08-27T15:08:28.074515+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/jinaai,Jinaai,450,Enterprise Search & Knowledge Graphs,Jinaai is an artificial intelligence venture engineering proprietary enterprise search & knowledge graphs technologies.,2026-08-27T15:08:28.074524+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/cyankiwi,Cyankiwi,1200,Bio-Medical & Scientific AI,Cyankiwi is an artificial intelligence venture engineering proprietary bio-medical & scientific ai technologies.,2026-08-27T15:08:28.074533+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/Xenova,Xenova,15,Generative AI & LLM Systems,Xenova is an artificial intelligence venture engineering proprietary generative ai & llm systems technologies.,2026-08-27T15:08:28.074543+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/HuggingFaceTB,Hugging Face,35,Autonomous Agents & Robotics,Huggingfacetb is an artificial intelligence venture engineering proprietary autonomous agents & robotics technologies.,2026-08-27T15:08:28.074554+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/NeoQuasar,Neoquasar,50,Computer Vision & Multi-Modal AI,Neoquasar is an artificial intelligence venture engineering proprietary computer vision & multi-modal ai technologies.,2026-08-27T15:08:28.074562+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/HauhauCS,Hauhaucs,85,AI Infrastructure & Developer Tooling,Hauhaucs is an artificial intelligence venture engineering proprietary ai infrastructure & developer tooling technologies.,2026-08-27T15:08:28.074571+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/daekeun-ml,Daekeun Ml,120,Speech & Audio Intelligence,Daekeun Ml is an artificial intelligence venture engineering proprietary speech & audio intelligence technologies.,2026-08-27T15:08:28.074580+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/zai-org,Zai Org,250,AI Safety & Governance,Zai Org is an artificial intelligence venture engineering proprietary ai safety & governance technologies.,2026-08-27T15:08:28.074590+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/dbmdz,Dbmdz,450,Enterprise Search & Knowledge Graphs,Dbmdz is an artificial intelligence venture engineering proprietary enterprise search & knowledge graphs technologies.,2026-08-27T15:08:28.074600+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/MahmoudAshraf,Mahmoudashraf,1200,Bio-Medical & Scientific AI,Mahmoudashraf is an artificial intelligence venture engineering proprietary bio-medical & scientific ai technologies.,2026-08-27T15:08:28.074609+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/w11wo,W11Wo,15,Generative AI & LLM Systems,W11Wo is an artificial intelligence venture engineering proprietary generative ai & llm systems technologies.,2026-08-27T15:08:28.074619+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/llava-hf,Llava Hf,35,Autonomous Agents & Robotics,Llava Hf is an artificial intelligence venture engineering proprietary autonomous agents & robotics technologies.,2026-08-27T15:08:28.074633+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/michaelfeil,Michaelfeil,50,Computer Vision & Multi-Modal AI,Michaelfeil is an artificial intelligence venture engineering proprietary computer vision & multi-modal ai technologies.,2026-08-27T15:08:28.074644+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/mlx-community,Mlx Community,85,AI Infrastructure & Developer Tooling,Mlx Community is an artificial intelligence venture engineering proprietary ai infrastructure & developer tooling technologies.,2026-08-27T15:08:28.074652+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/TostAI,Tostai,120,Speech & Audio Intelligence,Tostai is an artificial intelligence venture engineering proprietary speech & audio intelligence technologies.,2026-08-27T15:08:28.074665+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/patrickjohncyh,Patrickjohncyh,250,AI Safety & Governance,Patrickjohncyh is an artificial intelligence venture engineering proprietary ai safety & governance technologies.,2026-08-27T15:08:28.074676+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/emilyalsentzer,Emilyalsentzer,450,Enterprise Search & Knowledge Graphs,Emilyalsentzer is an artificial intelligence venture engineering proprietary enterprise search & knowledge graphs technologies.,2026-08-27T15:08:28.074685+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/dslim,Dslim,1200,Bio-Medical & Scientific AI,Dslim is an artificial intelligence venture engineering proprietary bio-medical & scientific ai technologies.,2026-08-27T15:08:28.074695+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/docling-project,Docling Project,15,Generative AI & LLM Systems,Docling Project is an artificial intelligence venture engineering proprietary generative ai & llm systems technologies.,2026-08-27T15:08:28.074704+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/TinyLlama,Tinyllama,35,Autonomous Agents & Robotics,Tinyllama is an artificial intelligence venture engineering proprietary autonomous agents & robotics technologies.,2026-08-27T15:08:28.074714+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/hmellor,Hmellor,50,Computer Vision & Multi-Modal AI,Hmellor is an artificial intelligence venture engineering proprietary computer vision & multi-modal ai technologies.,2026-08-27T15:08:28.074723+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/Salesforce,Salesforce,85,AI Infrastructure & Developer Tooling,Salesforce is an artificial intelligence venture engineering proprietary ai infrastructure & developer tooling technologies.,2026-08-27T15:08:28.074733+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/prism-ml,Prism Ml,120,Speech & Audio Intelligence,Prism Ml is an artificial intelligence venture engineering proprietary speech & audio intelligence technologies.,2026-08-27T15:08:28.074743+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/lmstudio-community,Lmstudio Community,250,AI Safety & Governance,Lmstudio Community is an artificial intelligence venture engineering proprietary ai safety & governance technologies.,2026-08-27T15:08:28.074753+00:00
1.0,STARTUP,AI Global Ecosystem,https://huggingface.co/sentence-transformers-testing,Sentence Transformers Testing,450,Enterprise Search & Knowledge Graphs,Sentence Transformers Testing is an artificial intelligence venture engineering proprietary enterprise search & knowledge graphs technologies.,2026-08-27T15:08:28.074764+00:00
