schemaVersion,recordType,content.title,content.source_name,content.url,content.published_date,content.author,content.summary
1.0,NEWS,"Hugging Face is selling a cute $399 open-source duck robot, Microduck",TechCrunch AI,https://techcrunch.com/2026/08/27/hugging-face-is-selling-a-cute-399-open-source-duck-robot-microduck/,2026-08-27T14:56:52+00:00,Rebecca Bellan,"Hugging Face is taking orders for the Microduck, a $399 tiny open-source duck robot that developers can train at home out of the box."
1.0,NEWS,AI’s memory crunch is coming for Android apps,TechCrunch AI,https://techcrunch.com/2026/08/27/ais-memory-crunch-is-coming-for-android-apps/,2026-08-27T14:27:04+00:00,Sarah Perez,Google is setting new memory-use limits for Android apps as AI data centers contribute to hardware shortages that could leave lower-cost phones with less memory.
1.0,NEWS,Here’s all the times AI has gone rogue and hacked other companies,TechCrunch AI,https://techcrunch.com/2026/08/27/heres-all-the-times-ai-has-gone-rogue-and-hacked-other-companies/,2026-08-27T14:01:42+00:00,Lorenzo Franceschi-Bicchierai,"A recap of all the incidents involving LLMs made by Anthropic, Meta, and OpenAI, which went rogue and attacked real companies and individuals on the internet."
1.0,NEWS,Plaud’s new earphones come with an eSIM-enabled case for talking to AI agents,TechCrunch AI,https://techcrunch.com/2026/08/27/plauds-new-earphones-come-with-an-esim-enabled-case-for-talking-to-ai-agents/,2026-08-27T13:00:00+00:00,Ivan Mehta,Plaud's new 'agentic' earbuds are priced at $249.
1.0,NEWS,OpenAI to start showing ads on ChatGPT’s free and Go tiers in India,TechCrunch AI,https://techcrunch.com/2026/08/27/openai-to-start-showing-ads-on-chatgpts-free-and-go-tiers-in-india/,2026-08-27T11:35:59+00:00,Ivan Mehta,"OpenAI has more than 100 million weekly active ChatGPT users in India, a huge chunk of whom are on the free or the lower-priced Go tiers."
1.0,NEWS,Nvidia closes in on Hugging Face acquisition,TechCrunch AI,https://techcrunch.com/2026/08/26/nvidia-closes-in-on-hugging-face-acquisition/,2026-08-27T06:32:51+00:00,Connie Loizos,"Nvidia has reportedly agreed to buy Hugging Face, the popular open-source AI hub, for $12.9 billion in a move that would let Nvidia both protect its chip empire and jump back into the cloud business."
1.0,NEWS,Viral AI startup Instinct has raised $350M at a $2.5B valuation,TechCrunch AI,https://techcrunch.com/2026/08/26/viral-ai-startup-instinct-has-raised-350-million-at-a-2-5-billion-valuation/,2026-08-27T00:24:57+00:00,Lucas Ropek,The startup is only a year old but it has already generated a massive amount of hype (and money) while also spurring privacy concerns.
1.0,NEWS,Amazon just tripled its order of Nvidia chips over ‘surging demand’,TechCrunch AI,https://techcrunch.com/2026/08/26/amazon-just-tripled-its-order-of-nvidia-chips-over-surging-demand/,2026-08-26T23:47:18+00:00,"Rebecca Bellan, Kirsten Korosec",Amazon is adding another 2 million Nvidia GPU chips to its data centers over the next two years. But this extended partnerships stretches beyond buying more chips.
1.0,NEWS,Anthropic continues compute-gobbling streak in $45B deal with Nscale,TechCrunch AI,https://techcrunch.com/2026/08/26/anthropic-continues-compute-gobbling-streak-in-45-billion-deal-with-nscale/,2026-08-26T21:37:39+00:00,Lucas Ropek,The new deal with the infrastructure provider is the latest example of Anthropic's white-hot compute-gobbling streak.
1.0,NEWS,"Google’s Gemini has a branding problem, and so does the rest of AI",TechCrunch AI,https://techcrunch.com/2026/08/26/googles-gemini-has-a-branding-problem-and-so-does-the-rest-of-ai/,2026-08-26T19:37:34+00:00,Sarah Perez,Consumer AI apps need to stop making users learn their product architecture.
1.0,NEWS,How do we explain OpenAI’s executive exodus?,TechCrunch AI,https://techcrunch.com/2026/08/26/how-do-we-explain-openais-executive-exodus/,2026-08-26T19:34:04+00:00,Tim Fernholz,Was Greg Brockman the right executive all along?
1.0,NEWS,OpenAI releases its official report on the Hugging Face breach,TechCrunch AI,https://techcrunch.com/2026/08/26/openai-releases-its-official-report-on-the-hugging-face-breach/,2026-08-26T19:05:22+00:00,Russell Brandom,"The report, which spans several discrete cybersecurity compromises, is the most complete accounting of the incident to date."
1.0,NEWS,Radar makes podcasts searchable — and usable by AI agents,TechCrunch AI,https://techcrunch.com/2026/08/26/radar-makes-podcasts-searchable-and-usable-by-ai-agents/,2026-08-26T15:47:28+00:00,Sarah Perez,"Particle’s new podcast intelligence platform transcribes and analyzes more than 130,000 podcasts, making their conversations searchable on the web and accessible to AI agents through an API and MCP."
1.0,NEWS,Orchestration is the new challenge for CX in the age of AI agents,VentureBeat AI,https://venturebeat.com/orchestration/orchestration-is-the-new-challenge-for-cx-in-the-age-of-ai-agents,2026-08-27T14:30:00+00:00,,"Presented by Tata Communications Enterprises are deploying AI agents, voice AI, and automation across messaging, voice, and digital channels faster than the architecture meant to support it. Most of that deployment has involved attaching conversational AI to legacy systems never built for it, says Gaurav Anand, global head of the Customer Interaction Suite at Tata Communications.""In the rush to deploy AI, organizations have largely bolted conversational AI onto legacy systems,"" Anand says. ""As a result, while many enterprises have adopted digital tools, very few have platforms that are truly integrated, scaled, and capable of seamless orchestration.""That gap creates a heavy cognitive load for human agents who must piece together context across disjointed tools to understand what an AI system has already told a customer. The challenge is not simply access to data, but the absence of a shared enterprise context that connects customer identities, interactions, transactions, policies, jour"
1.0,NEWS,Enterprise AI's real risk isn't autonomous agents. It's the complexity between them.,VentureBeat AI,https://venturebeat.com/ai/enterprise-ais-real-risk-isnt-autonomous-agents-its-the-complexity-between-them,2026-08-27T14:01:00+00:00,,"Presented by Gravitee Agent complexity is the insidious shadow lurking inside enterprises right now that needs a light shone on it.That’s because enterprises don't deploy a single agent and watch it run, they deploy fleets, each one calling APIs, calling other agents, reaching into applications that were never built with a machine decision-maker in mind. That's the failure mode that should keep you up at night: a windy, complicated system nobody can see clearly enough to govern. But why do things get so opaque so quickly?Add a second agent to a system, and you've added one connection. Add a tenth, and you haven't added ten connections, you've potentially added dozens, because now any agent might call any other, and each of those calls can trigger a call somewhere else. Complexity doesn't creep up with agent headcount. It compounds with the number of paths between agents, and nobody's job is to draw that graph. A support ticket that used to touch one system might now pass through four a"
1.0,NEWS,"When agents act on their own, governance has to live in the data layer",VentureBeat AI,https://venturebeat.com/security/when-agents-act-on-their-own-governance-has-to-live-in-the-data-layer,2026-08-27T12:01:00+00:00,,"Presented by EDB As enterprises give AI agents more autonomy — the ability to plan, decide, and act across systems without a human approving each step — a hard question moves to the center of every architecture review: When an agent tries to complete an action that it was never authorized to do, what actually stops it?These are your agents, running on your models, touching your data in your infrastructure — and the responsibility for what they do sits with you. That responsibility can’t be met in hindsight or with a set of abstract policies that live on paper but not in practice. Agents need rules in the context of the moment, because they don’t exercise overriding judgment of their own actions.Consider a simple rule: Never open the car door. Followed literally, an agent could never get in or out of the car at all. But if you change the context (the car has just crashed, there’s a fire, someone is hurt and needs to get out), then the rule you actually want is the opposite. Context in t"
1.0,NEWS,Nvidia is about to be a hundred-billion-dollar-a-quarter company,The Verge AI,https://www.theverge.com/tech/985387/nvidia-hundred-billion-dollar-quarterly-revenue,2026-08-26T21:40:53+00:00,Stevie Bonifield,"Nvidia's predicting it will pull in $108 billion in revenue within just a few months. It wouldn't be the first company to rake in over $100 billion in quarterly revenue - Amazon, Apple, and Alphabet have repeatedly reached the milestone. Nvidia said in its latest earnings report that it brought in a record $96.2 billion […]"
